                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.1877,                0.69242,                0.99223,                 1.4196,                0.84206,                0.98761,                0.92684,                0.82337,                0.92293,                0.48202,                 1.6069,                0.71928,                 1.1926,                 1.7014,                0.81845,                 1.1453,              0.0010069,              0.0010069,              0.0010069
                     43,                  1.213,                0.67552,                 1.0052,                 1.4059,                0.83481,                 1.0033,                0.82827,                0.82564,                0.88326,                0.45651,                 1.6877,                0.70958,                 1.2514,                 1.7723,                0.79172,                 1.2195,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.2055,                0.68463,                0.98611,                 1.4114,                0.82945,                0.98876,                0.89137,                0.78921,                0.89426,                0.46071,                 1.6361,                 0.7242,                 1.2105,                 1.7366,                0.84318,                 1.1843,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2491,                0.68228,                0.99514,                 1.4624,                0.85576,                0.98791,                0.85903,                 0.8177,                0.90006,                0.47174,                 1.5759,                0.70536,                 1.1871,                 1.6615,                0.84143,                 1.1616,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2536,                0.68942,                 1.0022,                 1.4488,                0.86352,                 1.0051,                0.87213,                0.84906,                0.90171,                0.47448,                 1.6221,                0.69379,                 1.2049,                 1.7082,                0.81967,                 1.1742,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2172,                0.67263,                0.98866,                 1.4319,                0.83496,                0.99273,                  0.926,                0.80704,                0.92138,                0.48005,                 1.6251,                0.67291,                 1.2017,                 1.7225,                 0.7691,                  1.193,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.1775,                0.63842,                0.98962,                 1.3805,                0.78825,                 0.9887,                0.92188,                0.83723,                0.92845,                0.48907,                 1.6087,                 0.6744,                 1.2075,                 1.6974,                0.77562,                 1.1855,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.1627,                0.64272,                0.98494,                 1.3752,                0.81201,                0.98584,                0.90924,                0.84493,                0.91465,                0.45993,                 1.6396,                  0.699,                 1.2065,                 1.7368,                0.82001,                 1.1722,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.1585,                0.63823,                0.97386,                 1.3725,                0.79661,                0.97237,                0.95047,                0.85726,                0.92822,                0.48793,                 1.5646,                0.67632,                 1.1805,                 1.6784,                 0.7697,                 1.1476,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.1864,                0.65454,                0.99502,                 1.3929,                 0.8089,                0.98906,                0.90312,                 0.8513,                0.92008,                0.47191,                 1.6508,                0.69139,                 1.2401,                 1.7129,                0.77963,                 1.1964,             0.00085834,             0.00085834,             0.00085834
